,FF,MM,MF,FM
0,0.733787911584979,0.7265550171641811,0.7269459889883008,0.7448344276844652
3,0.6924972100221579,0.6772470608365093,0.6846428880418037,0.695273179487968
6,0.6282798684062983,0.6141595088460787,0.6224188990839112,0.6482425032427527
9,0.5609072973333628,0.5543769104619285,0.5589841342084378,0.5796471300802537
12,0.5103303818881916,0.4983841198949128,0.4930569263030997,0.5187321574990195
15,0.4517012120499974,0.43537169698242395,0.4347943986967803,0.4587615778513755
18,0.40010205335771987,0.3899682134382082,0.38756037907675345,0.4099418354911764
21,0.3650505231578837,0.35503507198495315,0.34765409881984716,0.3759093066714732
24,0.3382320988774294,0.3230763573305396,0.32165414980204776,0.3437889665344236
27,0.31127786224204984,0.30121054164609984,0.2982447733750892,0.3144036690401138
30,0.296539611118713,0.28299317804718926,0.2811544459000538,0.2980200745518015
